CODIGO SOPORTE;TIPO SOPORTE;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;COORD X UTM ETRS89;COORD Y UTM ETRS89;FECHA PUESTA EN SERVICIO;LONGITUD;LATITUD;NOMBRE
171303MPP;MUPI PILAS;17;VILLAVERDE;CALLE;JUAN JOSÉ MARTÍNEZ SECO;75;441694.86;4467028.29;30/11/2016;-3.6865858;40.3517759;CALLE JUAN JOSÉ MARTÍNEZ SECO,75
171304MPP;MUPI PILAS;17;VILLAVERDE;CALLE;VILLALONSO;37;439494.87;4466752.15;30/11/2016;-3.7124643;40.3491316;CALLE VILLALONSO,37
171305MPP;MUPI PILAS;17;VILLAVERDE;TRAVESIA;ARECHAVALETA;6;440671.47;4466902.84;30/11/2016;-3.6986245;40.3505736;TRAVESIA ARECHAVALETA,6
171307MPP;MUPI PILAS;17;VILLAVERDE;CARRETERA;VILLAVERDE A VALLECAS;16;441379.84;4467196.24;30/11/2016;-3.6903106;40.3532668;CARRETERA VILLAVERDE A VALLECAS,16
171308MPP;MUPI PILAS;17;VILLAVERDE;PASEO;ALBERTO PALACIOS;35;439468.31;4466294.93;28/11/2016;-3.7127336;40.3450108;PASEO ALBERTO PALACIOS,35
171310MPP;MUPI PILAS;17;VILLAVERDE;PASEO;FERROVIARIOS;71;439064.76;4466109.48;28/11/2016;-3.7174672;40.3433108;PASEO FERROVIARIOS,71
181253MPP;MUPI PILAS;18;VILLA DE VALLECAS;AVENIDA;ENSANCHE DE VALLECAS;69;449204.60;4468244.94;21/11/2016;-3.5982549;40.3632275;AVENIDA ENSANCHE DE VALLECAS,69
181255MPP;MUPI PILAS;18;VILLA DE VALLECAS;AVENIDA;SANTA EUGENIA;35;447990.02;4470599.59;15/02/2018;-3.6127512;40.384365;AVENIDA SANTA EUGENIA,35
181256MPP;MUPI PILAS;18;VILLA DE VALLECAS;CALLE;PUENTELARRA;2;448602.71;4470619.93;23/11/2016;-3.6055349;40.3845863;CALLE PUENTELARRA,2
181257MPP;MUPI PILAS;18;VILLA DE VALLECAS;CALLE;VIRGEN DE LAS VIÑAS;20;448406.14;4470194.83;29/11/2016;-3.6078162;40.3807445;CALLE VIRGEN DE LAS VIÑAS,20
181261MPP;MUPI PILAS;18;VILLA DE VALLECAS;CALLE;CONGOSTO;26;447381.52;4469425.55;28/11/2016;-3.6198229;40.3737502;CALLE CONGOSTO,26
181262MPP;MUPI PILAS;18;VILLA DE VALLECAS;CALLE;JESÚS DEL PINO;32;447023.56;4470316.00;22/12/2016;-3.6241133;40.3817493;CALLE JESÚS DEL PINO,32
181264MPP;MUPI PILAS;18;VILLA DE VALLECAS;CALLE;REAL DE ARGANZA;20;447427.43;4470066.23;23/11/2016;-3.619335;40.3795248;CALLE REAL DE ARGANZA,20
181268MPP;MUPI PILAS;18;VILLA DE VALLECAS;CALLE;SIERRA GUADALUPE;15;447057.14;4470258.57;23/11/2016;-3.6237129;40.3812341;CALLE SIERRA GUADALUPE,15
181269MPP;MUPI PILAS;18;VILLA DE VALLECAS;PASEO;FEDERICO GARCÍA LORCA;5;447256.37;4470010.65;04/01/2017;-3.6213455;40.3790133;PASEO FEDERICO GARCÍA LORCA,5
181270MPP;MUPI PILAS;18;VILLA DE VALLECAS;CALLE;PUERTO DE PORZUNA;2;447315.98;4469686.13;28/11/2016;-3.6206164;40.3760936;CALLE PUERTO DE PORZUNA,2
191271MPP;MUPI PILAS;19;VICALVARO;AVENIDA;DAROCA;315;447939.21;4473101.25;23/09/2016;-3.6135544;40.4068985;AVENIDA DAROCA,315
191276MPP;MUPI PILAS;19;VICALVARO;BULEVAR;INDALECIO PRIETO;34;447169.03;4472138.59;23/09/2016;-3.6225508;40.3981777;BULEVAR INDALECIO PRIETO,34
191277MPP;MUPI PILAS;19;VICALVARO;BULEVAR;INDALECIO PRIETO;44;447125.00;4471996.02;26/09/2016;-3.6230578;40.3968905;BULEVAR INDALECIO PRIETO,44
191278MPP;MUPI PILAS;19;VICALVARO;BULEVAR;INDALECIO PRIETO;24;447262.62;4472436.15;23/09/2016;-3.6214727;40.4008642;BULEVAR INDALECIO PRIETO,24
191282MPP;MUPI PILAS;19;VICALVARO;CALLE;CASALARREINA;29;447829.18;4473203.19;21/09/2016;-3.6148594;40.4078099;CALLE CASALARREINA,29
191283MPP;MUPI PILAS;19;VICALVARO;BULEVAR;JOSE PRATS;42;447392.57;4471961.46;29/11/2016;-3.6199021;40.3965961;BULEVAR JOSE PRATS,42
191285MPP;MUPI PILAS;19;VICALVARO;CALLE;SAN CIPRIANO;46;448755.31;4472761.26;20/09/2016;-3.6039095;40.4038862;CALLE SAN CIPRIANO,46
191287MPP;MUPI PILAS;19;VICALVARO;CALLE;MINERVA;3;449277.74;4472823.25;12/01/2017;-3.597758;40.4044767;CALLE MINERVA,3
191288MPP;MUPI PILAS;19;VICALVARO;CALLE;VILLABLANCA;5;448402.61;4473339.14;23/09/2016;-3.6081126;40.4090704;CALLE VILLABLANCA,5
191291MPP;MUPI PILAS;19;VICALVARO;PASEO;ARTILLEROS;35;448333.23;4472835.97;21/09/2016;-3.6088894;40.4045332;PASEO ARTILLEROS,35
201104MPP;MUPI PILAS;20;SAN BLAS;CARRETERA;CANILLEJAS A VICÁLVARO;113;448183.99;4475574.61;15/09/2016;-3.6108712;40.4291953;CARRETERA CANILLEJAS A VICÁLVARO,113
201111MPP;MUPI PILAS;20;SAN BLAS;AVENIDA;GUADALAJARA;69;447697.01;4474661.10;15/09/2016;-3.6165369;40.4209354;AVENIDA GUADALAJARA,69
201112MPP;MUPI PILAS;20;SAN BLAS;AVENIDA;HELLÍN;21;447788.65;4475621.75;15/09/2016;-3.6155356;40.4295953;AVENIDA HELLÍN,21
201116MPP;MUPI PILAS;20;SAN BLAS;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;45;446372.07;4475700.06;13/09/2016;-3.6322417;40.4302106;AVENIDA INSTITUCION LIBRE DE ENSEÑANZA,45
201117MPP;MUPI PILAS;20;SAN BLAS;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;145;447106.82;4474376.87;19/12/2016;-3.6234699;40.4183376;AVENIDA INSTITUCION LIBRE DE ENSEÑANZA,145
201118MPP;MUPI PILAS;20;SAN BLAS;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;115;446856.17;4474816.21;15/09/2016;-3.6264609;40.4222794;AVENIDA INSTITUCION LIBRE DE ENSEÑANZA,115
201125MPP;MUPI PILAS;20;SAN BLAS;CALLE;ALCALÁ;619;448216.32;4477638.44;06/09/2016;-3.6106583;40.4477896;CALLE ALCALÁ,619
201137MPP;MUPI PILAS;20;SAN BLAS;CALLE;MANCHESTER;12;448681.93;4475619.67;16/09/2016;-3.6050048;40.4296321;CALLE MANCHESTER,12
070424MPP;MUPI PILAS;21;BARAJAS;AVENIDA;PARTENON;5;447709.67;4479452.15;20/01/2017;-3.616782;40.4640968;AVENIDA PARTENON,5
210076MPP;MUPI PILAS;21;BARAJAS;AVENIDA;LOGROÑO;361;450623.21;4480701.57;26/01/2017;-3.5825148;40.4755306;AVENIDA LOGROÑO,361
210077MPP;MUPI PILAS;21;BARAJAS;AVENIDA;LOGROÑO;207;450016.86;4479206.67;26/01/2017;-3.58955;40.4620274;AVENIDA LOGROÑO,207
210086MPP;MUPI PILAS;21;BARAJAS;CALLE;OBENQUE;9;449722.52;4478121.14;25/10/2016;-3.5929356;40.4522305;CALLE OBENQUE,9
210087MPP;MUPI PILAS;21;BARAJAS;CALLE;JOAQUÍN IBARRA;35;449704.76;4478524.09;19/09/2016;-3.5931769;40.4558594;CALLE JOAQUÍN IBARRA,35
210088MPP;MUPI PILAS;21;BARAJAS;PASEO;ALAMEDA DE OSUNA;85;450047.83;4478822.09;28/09/2016;-3.5891544;40.4585647;PASEO ALAMEDA DE OSUNA,85
210089MPP;MUPI PILAS;21;BARAJAS;PLAZA;NAVÍO;4;450142.11;4478473.18;21/09/2016;-3.5880151;40.4554272;PLAZA NAVÍO,4
140793MPP;MUPI PILAS;14;MORATALAZ;AVENIDA;DOCTOR GARCÍA TAPIA;192;445804.49;4473384.71;15/12/2023;-3.6387355;40.4093158;AVENIDA DOCTOR GARCÍA TAPIA, 192
050228MPP;MUPI PILAS;5;CHAMARTIN;CALLE;ALFONSO XIII ;158;443060.70;4479043.91;20/03/2024;-3.6715781;40.4601136;CALLE ALFONSO XIII , 158
;;;;;;;;;;;;
