Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);COD_DIS;DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea EMT;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
2122;;MARQUESINA MOD XXI 4-M STD;15;CIUDAD LINEAL;CONDESA VENADITO;CALLE;Nº 0;ESQ C/ MADRE ANTONIA DE PARIS;C/ ARTURO SORIA;CONDESA VENADITO, CALLE Nº0 ESQ C/ MADRE ANTONIA DE PARIS C/ ARTURO SORIA;444859;4477622;SI;11/;444749,5704;4477414,467;-3,651517947;40,44554873
2127;;MARQUESINA MOD XXI 5-M STD;3;RETIRO;MEDITERRANEO;AV;Nº 33;FTE Nº 28 (1ª MARQ);MARIANO DE CAVIA;MEDITERRANEO, AV Nº33 (1ª MARQ) FTE Nº 28 - MARIANO DE CAVIA;442976;4473380;SI;REFUGIO;442866,5331;4473172,471;-3,673340257;40,40720738
2133;;MARQUESINA MOD XXI 4-M REDUCIDA;5;CHAMARTIN;HABANA;Pº;Nº 56;ESQ. PZA. SAGRADOS CORAZONES;C/ MATEO INURRIA;HABANA, Pº Nº56 ESQ. PZA. SAGRADOS CORAZONES C/ MATEO INURRIA;441932;4478292;SI;14/;441822,5875;4478084,513;-3,68609228;40,45138514
2135;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;HABANA;Pº;Nº 33;;CONCHA ESPINA;HABANA, Pº Nº33 - CONCHA ESPINA;442021;4478478;SI;14/;441911,5887;4478270,513;-3,685059767;40,45306693
2143;;MARQUESINA MOD XXI 5-M ESTRECHA CON LUMINARIA;5;CHAMARTIN;HABANA;Pº;Nº 147;ESQ C/ JOSE RGUEZ PINILLA 40 M;CONCHA ESPINA;HABANA, Pº Nº147 ESQ C/ JOSE RGUEZ PINILLA 40 M CONCHA ESPINA;442425;4479511;SI;14/;442315,596;4479303,512;-3,68038934;40,4624008
2150;;MARQUESINA MOD XXI 5-M REDUCIDA;5;CHAMARTIN;BURGOS;AV;Nº 4;ESQ C/ MARQUES TORROJA;AV SAN LUIS;BURGOS, AV. Nº4 ESQ C/ MARQUES TORROJA AV SAN LUIS;442797;4480395;SI;14/129/;442687,6022;4480187,512;-3,676081654;40,47039001
2155;;MARQUESINA MOD XXI 5-M STD;3;RETIRO;NARVAEZ;CALLE;Nº 29;ANT C/ O'DONNELL (1ª MARQ);CONDE DE PEÑALVER;NARVAEZ, CALLE Nº 29 ANT C/ O'DONNELL (1ª MARQ) - CONDE DE PEÑALVER;442776;4474925;SI;REFUGIO;442666,5501;4474717,482;-3,67583622;40,42111191
2157;;MARQUESINA MOD XXI 5-M STD;4;SALAMANCA;NARVAEZ;CALLE;Nº 51;DESP C/ IBIZA (2ª MARQ);C/ CONDE PEÑALVER;NARVAEZ, CALLE Nº51 DESP C/ IBIZA (2ª MARQ) C/ CONDE PEÑALVER;442753,4278;4474645,572;SI;2/15/26/61/63/215/C2/;442643,975;4474438,053;-3,676077114;40,41859311
2160;;MARQUESINA MOD XXI 4-M STD;3;RETIRO;ALCALDE SAINZ DE BARANDA;CALLE;Nº 40;ESQ. C/ MAIQUEZ;C/MARQUES DE CORBERA;ALCALDE SAINZ DE BARANDA,CALLE Nº40 ESQ. C/ MAIQUEZ C/MARQUES DE CORBERA;443015,8024;4474425,302;SI;2/15/215/N8/;442906,3464;4474217,779;-3,672964874;40,41662681
2163;;MARQUESINA MOD XXI 4-M STD;3;RETIRO;ALCALDE SAINZ DE BARANDA;CALLE;Nº 65;ESQ C/DR. ESQUERDO;AV MENENDEZ PELAYO;ALCALDE SAINZ DE BARANDA,CALLE Nº65 ESQ C/DR. ESQUERDO AV MENENDEZ PELAYO;443259,693;4474431,465;SI;15/215/;443150,2363;4474223,938;-3,670090872;40,41669899
2164;;MARQUESINA MOD XXI 4-M STD;3;RETIRO;ALCALDE SAINZ DE BARANDA;CALLE;Nº 72;ESQ C/ MARQUES DE LOZOYA;MARQUES CORBERA;ALCALDE SAINZ DE BARANDA,CALLE Nº72 ESQ C/ MARQUES DE LOZOYA MARQUES CORBERA;443466,8944;4474478,599;SI;15/215/;443357,4375;4474271,069;-3,667652936;40,4171377
2167;;MARQUESINA MOD XXI 4-M REDUCIDA;3;RETIRO;ALCALDE SAINZ DE BARANDA;CALLE;Nº 107;ESQ C/ VAQUERIAS;AV MENENDEZ PELAYO;ALCALDE SAINZ DE BARANDA,CALLE Nº107 ESQ C/ VAQUERIAS - AV. MENENDEZ PELAYO;443619;4474646;SI;15/;443509,5443;4474438,469;-3,665875017;40,41865606
2169;;MARQUESINA MOD XXI 5-M STD;4;SALAMANCA;ALCALDE SAINZ DE BARANDA;CALLE;Nº 0;FTE Nº 92;DR. ESQUERDO;ALCALDE SAINZ DE BARANDA,CALLE Nº0  FTE Nº 92 DR. ESQUERDO;443933,4934;4474955,856;SI;15/28/71/N6/;443824,0399;4474748,322;-3,66219554;40,42146868
2172;;MARQUESINA MOD XXI 4-M STD;3;RETIRO;ALFONSO XII;CALLE;Nº 22;ESQ C/ ANTONIO MAURA;Pº INFANTA ISABEL;ALFONSO XII, CALLE Nº22 ESQ C/ ANTONIO MAURA Pº INFANTA ISABEL;441641;4474405;SI;19/CT/;441531,549;4474197,495;-3,689166695;40,41634863
2173;;MARQUESINA MOD XXI 4-M STD;3;RETIRO;ALFONSO XII;CALLE;Nº 0;FTE Nº 22;PUERTA ALCALA;ALFONSO XII, CALLE Nº0 FTE Nº 22 PUERTA ALCALA;441666;4474425;SI;19/;441556,5491;4474217,495;-3,688873877;40,41653055
2174;;MARQUESINA MOD XXI 5-M STD;3;RETIRO;ALFONSO XII;CALLE;Nº 48;ESQ C/ ESPALTER;Pº INFANTA ISABEL;ALFONSO XII, CALLE Nº48 ESQ C/ ESPALTER Pº INFANTA ISABEL;441649;4473985;SI;19/;441539,5445;4473777,493;-3,689033862;40,4125656
2176;;MARQUESINA MOD XXI 4-M STD;3;RETIRO;ALFONSO XII;CALLE;Nº 58;ESQ. C/ DR. VELASCO;Pº INFANTA ISABEL;ALFONSO XII, CALLE Nº58 ESQ. C/ DR. VELASCO Pº INFANTA ISABEL;441658;4473603;SI;19/;441548,5403;4473395,491;-3,68889275;40,40912496
2179;;MARQUESINA MOD XXI 4-M STD;17;VILLAVERDE;ALBERTO PALACIOS;Pº;Nº 18;ESQ C/ ALADIERNA;Pº FERROVIARIOS;ALBERTO PALACIOS, Pº Nº18 ESQ C/ ALADIERNA Pº FERROVIARIOS;439716;4466640;SI;22/79/N14/;439606,4706;4466432,481;-3,711119988;40,34625994
2182;;MARQUESINA MOD XXI 4-M STD;17;VILLAVERDE;ALBERTO PALACIOS;Pº;Nº 39;DESP C/ MANOLA Y ROSARIO;PZA AGATA;ALBERTO PALACIOS, Pº Nº39 DESP C/ MANOLA Y ROSARIO PZA AGATA;439540;4466420;SI;22/79/;439430,4687;4466212,482;-3,713171344;40,3442653
2183;;MARQUESINA MOD XXI 4-M STD;17;VILLAVERDE;ALBERTO PALACIOS;Pº;Nº 73;ANTES C/ DOROTEO LABORDA;PZA AGATA;ALBERTO PALACIOS, Pº Nº73 ANTES C/ DOROTEO LABORDA PZA AGATA;439286;4466318;SI;22/;439176,4685;4466110,484;-3,716152112;40,34332797
2184;;MARQUESINA MOD XXI 4-M REDUCIDA;13;PUENTE DE VALLECAS;MARTINEZ DE LA RIVA;CALLE;Nº 58;ESQ C/ EDUARDO REQUENA;AV PABLO NERUDA;MARTINEZ DE LA RIVA, CALLE Nº58 ESQ C/ EDUARDO REQUENA AV PABLO NERUDA;443628,3768;4471604,908;SI;24/111/310/;443518,8893;4471397,361;-3,665494996;40,39126069
2189;;MARQUESINA MOD XXI 4-M REDUCIDA;13;PUENTE DE VALLECAS;MANUEL MAROTO;CALLE;Nº 23;;AV ALBUFERA;MANUEL MAROTO, CALLE Nº23 - AV ALBUFERA;443331;4471261;SI;24/;443221,5097;4471053,455;-3,668968022;40,38814237
2191;;MARQUESINA MOD XXI 4-M STD;13;PUENTE DE VALLECAS;MANUEL MAROTO;CALLE;Nº 53;ESQ JOSE SERRANO.;AV SAN DIEGO.;MANUEL MAROTO, CALLE Nº53 ESQ JOSE SERRANO. AV SAN DIEGO.;443190;4471130;SI;24/;443080,5087;4470922,456;-3,670617493;40,38695264
2194;;MARQUESINA MOD XXI 4-M REDUCIDA;13;PUENTE DE VALLECAS;LAGARTERA;CALLE;Nº 0;BLOQUE Nº 314;C/ LA MANCHA;LAGARTERA, CALLE Nº0 BLOQUE Nº 314 C/ LA MANCHA;443038;4470477;SI;24/;442928,502;4470269,456;-3,672349804;40,38105963
2195;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;CONDE RODRIGUEZ SAN PEDRO;CALLE;Nº 0;FTE C/ CALERA PITA;C/ MEJORANA;CONDE RGUEZ SAN PEDRO, CALLE Nº0 FTE C/ CALERA PITA C/ MEJORANA;443234;4470734;SI;24/;443124,5042;4470526,454;-3,670063825;40,38338822
2197;;MARQUESINA MOD XXI 4-M STD;13;PUENTE DE VALLECAS;ENTREVIAS;AV;Nº 0;ESQ ESTACION ENTREVIAS;M-30;ENTREVIAS, AV. Nº0 ESQ ESTACION ENTREVIAS M-30;443378;4470526;SI;24/;443268,5016;4470318,452;-3,668348947;40,38152423
2198;;MARQUESINA MOD XXI 4-M STD;13;PUENTE DE VALLECAS;ENTREVIAS;AV;Nº 82;ESQ. C/ DE LA SERENA;Cº POZO TIO RAIMUNDO;ENTREVIAS, AV. Nº82 ESQ. C/ DE LA SERENA Cº POZO TIO RAIMUNDO;443635;4470222;SI;24/;443525,4976;4470014,447;-3,665294552;40,37880303
2199;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;ENTREVIAS;AV;Nº 0;FTE  C/ SERENA;M-30;ENTREVIAS, AV. Nº0 FTE  C/ SERENA M-30;443617;4470277;SI;24/;443507,4983;4470069,447;-3,665511453;40,37929729
2201;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;ENTREVIAS;AV;Nº 0;FTE Nº 98;M-30;ENTREVIAS, AV. Nº0 FTE Nº 98 M-30;443825,602;4470103,186;SI;24/;443716,0979;4469895,63;-3,663038845;40,37774555
2206;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;ANDALUCES DEL POZO;CALLE;Nº 18;ANT C/ ESTEBAN CARROS (2ª MARQ);ESTEBAN CARROS;ANDALUCES DEL POZO, CALLE Nº 18 ANT C/ ESTEBAN CARROS (2ª MARQ) - C/ ESTEBAN CARROS;444128;4469392;SI;102/;444018,4875;4469184,437;-3,659414383;40,37135905
2207;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;GLORIETAS;AV;Nº 27;;RONDA DEL SUR;GLORIETAS, AV Nº27 -  RONDA DEL SUR;444169;4469591;SI;24/102/;444059,4895;4469383,437;-3,658948907;40,37315452
2208;;MARQUESINA MOD XXI 4-M STD;13;PUENTE DE VALLECAS;COOPERATIVA ELECTRICA;CALLE;Nº 0;ESQ C/ VECINOS DEL POZO;RONDA DEL SUR;COOPERATIVA ELECTRICA, CALLE Nº0 ESQ C/ VECINOS DEL POZO RONDA DEL SUR;444113;4469743;SI;24/102/;444003,4913;4469535,439;-3,659621846;40,37452008
2209;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;RONDA DEL SUR ;RDA;Nº 0;ESQ DEPOSITO DE AGUA;AV ENTREVIAS;RONDA DEL SUR Nº0 ESQ DEPOSITO DE AGUA AV ENTREVIAS;444005,7692;4469844,312;SI;24/102/103/N11/;443896,2619;4469636,753;-3,660893814;40,37542557
2211;;MARQUESINA MOD XXI 5-M STD;3;RETIRO;MENENDEZ PELAYO;AV;Nº 0;ANT PZA MARIANO DE CAVIA ;PZA MARIANO DE CAVIA;MENENDEZ PELAYO, AV  ANT PZA MARIANO DE CAVIA  - PZA MARIANO DE CAVIA;442526;4473480;SI;26/152/C1/;442416,5356;4473272,478;-3,678652351;40,4080773
2212;;MARQUESINA MOD XXI 4-M REDUCIDA;3;RETIRO;MENENDEZ PELAYO;AV;Nº 71;ANT PZA NIÑO JESUS;C/ PRINCIPE DE VERGARA;MENENDEZ PELAYO, AV Nº 71 ANT PZA NIÑO JESUS - C/ PRINCIPE DE VERGARA;442736;4473804;SI;26/63/152/C2/;442626,5384;4473596,477;-3,676206731;40,41101055
2216;;MARQUESINA MOD XXI 4-M STD;4;SALAMANCA;NARVAEZ;CALLE;Nº 0;FTE Nº 7;C/ DOCE DE OCTUBRE;NARVAEZ, CALLE Nº0 FTE Nº 7 C/ DOCE DE OCTUBRE;442764;4475218;SI;26/61/;442654,5533;4475010,484;-3,67600405;40,4237506
2218;;MARQUESINA MOD XXI 5-M STD;4;SALAMANCA;CONDE DE PEÑALVER;CALLE;Nº 9;ANT C/ GOYA;C/ NARVAEZ;CONDE DE PEÑALVER, CALLE Nº9 ANT C/ GOYA C/ NARVAEZ;442779;4475403;SI;26/61/;442669,5552;4475195,485;-3,675843896;40,42541821
2219;;MARQUESINA MOD XXI 4-M STD;4;SALAMANCA;CONDE DE PEÑALVER;CALLE;Nº 30;DESP C/ AYALA;FRANC. SILVELA;CONDE DE PEÑALVER, CALLE Nº30 DESP C/ AYALA FRANC. SILVELA;442826,463;4475695,446;SI;26/61/N3/;442717,0211;4475487,932;-3,675310727;40,42805599
2221;;MARQUESINA MOD XXI 5-M STD;4;SALAMANCA;CONDE DE PEÑALVER;CALLE;Nº 50;;FCO. SILVELA;CONDE DE PEÑALVER, CALLE Nº50 - FCO. SILVELA;442845;4475929;SI;26/61/N3/;442735,5605;4475721,487;-3,675113219;40,43016125
2225;;MARQUESINA MOD XXI 5-M STD;4;SALAMANCA;PRINCIPE DE VERGARA;CALLE;Nº 2;FRENTE Nº 5;PIO XII;PRINCIPE DE VERGARA, CALLE Nº2 FTE Nº 5 PIO XII;442411;4475161;SI;29/52/;442301,5539;4474953,489;-3,680159856;40,42321275
2228;;MARQUESINA MOD XXI 5-M REDUCIDA ;4;SALAMANCA;PRINCIPE DE VERGARA;CALLE;Nº 23;FTE Nº 22;AV MENENDEZ PELAYO;PRINCIPE DE VERGARA, CALLE Nº23 FTE Nº 22 MENENDEZ PELAYO;442400;4475407;SI;29/52/N2/;442290,5565;4475199,49;-3,680311814;40,42542809
2229;;MARQUESINA MOD XXI 5-M STD;4;SALAMANCA;PRINCIPE DE VERGARA;CALLE;Nº 42;DESP C/ AYALA;PZA. PERU;PRINCIPE DE VERGARA, CALLE Nº 42  DESP C/ AYALA - PZA PERU;442451;4475674;SI;29/52/N2/;442341,5592;4475466,491;-3,679734819;40,4278369
2230;;MARQUESINA MOD XXI 4-M STD;4;SALAMANCA;PRINCIPE DE VERGARA;CALLE;Nº 41;;AV MENENDEZ PELAYO;PRINCIPE DE VERGARA, CALLE Nº 41 - AV MENENDEZ PELAYO;442415;4475674;SI;29/52/N2/;442305,5593;4475466,492;-3,680159194;40,42783441
2232;;MARQUESINA MOD XXI 5-M STD;4;SALAMANCA;PRINCIPE DE VERGARA;CALLE;nº 49;ESQ PZA M.SALAMANCA;AV MENENDEZ PELAYO;PRINCIPE DE VERGARA, CALLE Nº49 ESQ PZA MARQUES SALAMANCA - AV MELENDEZ PELAYO;442440;4476004;SI;29/52/N2/;442330,5628;4475796,493;-3,679894385;40,43080896
2233;;MARQUESINA MOD XXI 4-M STD;4;SALAMANCA;PRINCIPE DE VERGARA;CALLE;Nº 74;ANT C/ DIEGO DE LEON;AV PIO XII;PRINCIPE DE VERGARA, CALLE Nº 74 ANT C/ DIEGO DE LEON - AV PIO XII;442497;4476378;SI;29/52/N2/;442387,5665;4476170,494;-3,679256285;40,4341821
2238;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;PRINCIPE DE VERGARA;CALLE;Nº 109;ESQ  C/ FRANCISCO SILVELA;AV MENENDEZ PELAYO;PRINCIPE DE VERGARA, CALLE Nº109  ESQ  C/ FRANCISCO SILVELA  AV MENENDEZ PELAYO;442511;4476995;SI;29/52/;442401,5731;4476787,497;-3,679147084;40,43974133
2241;;MARQUESINA MOD XXI 4-M STD;5;CHAMARTIN;PRINCIPE DE VERGARA;CALLE;Nº 142;JTO. MUSEO CIUDAD;PIO XII;PRINCIPE DE VERGARA, CALLE Nº142 JTO. MUSEO CIUDAD PIO XII;442598;4477520;SI;29/52/;442488,5781;4477312,499;-3,678168799;40,44447682
2243;;MARQUESINA MOD XXI 4-M STD;5;CHAMARTIN;PRINCIPE DE VERGARA;CALLE;Nº 0;JTO AUDITORIO NAC. MUSICA;PIO XII;PRINCIPE DE VERGARA, CALLE JTO AUDITORIO NACIONAL  MUSICA - PIO XII;442622;4477785;SI;29/52/;442512,5803;4477577,5;-3,677909771;40,44686574
2249;;MARQUESINA MOD XXI 5-M STD;1;CENTRO;SEGOVIA;CALLE;Nº 14;;Pº EXTREMADURA;SEGOVIA, CALLE Nº14 - Pº EXTREMADURA;439790,6486;4474122,208;SI;31/50/65/;439681,204;4473914,724;-3,710948302;40,41366925
2253;;MARQUESINA MOD XXI 5-M STD;1;CENTRO;SEGOVIA;CALLE;Nº 0;Pº VIRGEN DEL PUERTO;PUENTE SEGOVIA;SEGOVIA, CALLE Nº0 VIRGEN DEL PUERTO PUENTE SEGOVIA;439013,115;4474171,919;SI;31/65/;438903,6748;4473964,445;-3,720116753;40,41406044
2255;10782;MARQUESINA MOD XXI 4-M STD;10;LATINA;HIGUERAS;CALLE;Nº 0;FTE Nº 5;C/ ALHAMBRA;HIGUERAS, CALLE Nº0 FTE Nº 5 C/ ALHAMBRA;437124;4473479;SI;31/500/;437014,562;4473271,544;-3,742312597;40,40767769
2260;10788;MARQUESINA MOD XXI 5-M REDUCIDA;10;LATINA;ACHICORIA;PZA;Nº 0;ESQ C/ HIGUERAS;C/ HIGUERAS;ACHICORIA, PZA. Nº0 ESQ C/ HIGUERAS C/ HIGUERAS;436876;4472892;SI;31/500/;436766,5573;4472684,543;-3,745176894;40,40237095
2262;10787;MARQUESINA MOD XXI 5-M STD;10;LATINA;ALHAMBRA;CALLE;Nº 0;FTE Nº 56;C/ HIGUERAS;ALHAMBRA, CALLE Nº0 FTE Nº 56  C/ HIGUERAS;436956;4472517;SI;31/55/119/N18/500/;436846,5525;4472309,54;-3,744197061;40,39899884
2263;;MARQUESINA MOD XXI 4-M STD;10;LATINA;YEBENES LOS;CALLE;Nº 0;FRENTE AL Nº 43;C/OCAÑA;YEBENES (LOS), CALLE Nº FRENTE AL Nº 43 C/OCAÑA;436149;4472140;SI;31/;436039,5541;4471932,546;-3,753668044;40,39554113
2266;;MARQUESINA MOD XXI 4-M STD;10;LATINA;YEBENES LOS;CALLE;Nº 159;FTE. COLONIA LOS SAUCES;Pº EXTREMADURA;YEBENES (LOS), CALLE Nº159 FTE. COLONIA LOS SAUCES Pº EXTREMADURA;436317;4471841;SI;31/;436207,5496;4471633,543;-3,751658704;40,39286047
2267;;MARQUESINA MOD XXI 5-M STD;12;USERA;SAN MARIO;CALLE;Nº 0;ESQ. Cº DE PERALES;Cº PERALES;SAN MARIO, CALLE Nº0 ESQ. Cº DE PERALES Cº PERALES;441463,3592;4470181,766;SI;78/;441353,8631;4469974,241;-3,690871934;40,37829084
2268;;MARQUESINA MOD XXI 4-M STD;10;LATINA;YEBENES LOS;CALLE;Nº 253;ESQ C/ ILLESCAS;Pº EXTREMADURA;YEBENES (LOS), CALLE Nº253 ESQ C/ ILLESCAS Pº EXTREMADURA;436307;4471485;SI;31/;436197,5457;4471277,541;-3,751740906;40,38965269
2269;;MARQUESINA MOD XXI 4-M REDUCIDA;10;LATINA;ILLESCAS;CALLE;Nº 183;;Pº EXTREMADURA;ILLESCAS, CALLE Nº183 - Pº EXTREMADURA;436011;4471727;SI;31/;435901,5505;4471519,545;-3,755252484;40,39181005
2271;;MARQUESINA MOD XXI 4-M STD;10;LATINA;CAMARENA;CALLE;Nº 186;FTE. Nº 125;C/ OCAÑA;CAMARENA, CALLE Nº186 FTE. Nº 125 C/ OCAÑA;435963;4471531;SI;31/;435853,5486;4471323,545;-3,755798289;40,3900407
2274;;MARQUESINA MOD XXI 5-M STD;10;LATINA;CAMARENA;CALLE;Nº 207;FTE. Nº 80;C/ DUQ. DE PARCENT;CAMARENA, CALLE Nº207 FTE. Nº 80 C/ DUQ. DE PARCENT;435905,9416;4471242,902;SI;31/121/N18/;435796,4874;4471035,445;-3,756441513;40,38744098
2276;;MARQUESINA MOD XXI 5-M STD;10;LATINA;CAMARENA;CALLE;Nº 0;FTE Nº 320;DUQUESA PARCENT;CAMARENA, CALLE Nº0 FTE Nº 320 DUQUESA PARCENT;435783,4236;4471014,513;SI;31/121/N18/;435673,9674;4470807,057;-3,757861854;40,38537412
2277;;MARQUESINA MOD XXI 5-M STD;10;LATINA;OCAÑA;CALLE;Nº 0;ANT C/ VALMOJADO;C/ MAQUEDA;OCAÑA, CALLE ANT C/ VALMOJADO - C/ MAQUEDA;435613;4471082;SI;31/N26/;435503,5458;4470874,546;-3,759876354;40,38596891
2278;;MARQUESINA MOD XXI 5-M STD;3;RETIRO;CRUZ DEL SUR;CALLE;Nº 0;FTE. C/ DE PERSEO;AV MEDITERRANEO;CRUZ DEL SUR, CALLE Nº0 FTE. C/ DE PERSEO AV MEDITERRANEO;443343;4473436;SI;32/;443233,5325;4473228,466;-3,6690203;40,40773692
2279;;MARQUESINA MOD XXI 4-M REDUCIDA;3;RETIRO;ESTRELLA POLAR;CALLE;Nº 3;ESQ CRUZ DEL SUR;CRUZ DEL SUR;ESTRELLA POLAR, CALLE Nº3 ESQ CRUZ DEL SUR CRUZ DEL SUR;443448;4473707;SI;32/;443338,535;4473499,466;-3,667807006;40,41018539
2282;;MARQUESINA MOD XXI 4-M STD;14;MORATALAZ;MORATALAZ;AV;Nº 160;ESQ Cº DE LOS VINATEROS;DR.GARCIA TAPIA;MORATALAZ, AV Nº160 ESQ Cº DE LOS VINATEROS DR.GARCIA TAPIA;445272;4473400;SI;32/;445162,526;4473192,439;-3,646284469;40,40754167
2284;;MARQUESINA MOD XXI 5-M STD;14;MORATALAZ;MORATALAZ;AV;Nº 199;ESQ  C/ DR. GARCIA TAPIA;CORREG. DIEGO VALDE.;MORATALAZ, AV Nº199 ESQ  C/ DR. GARCIA TAPIA CORREG. DIEGO VALDE.;445659;4473635;SI;32/;445549,5272;4473427,435;-3,641743865;40,40968405
2286;;MARQUESINA MOD XXI 4-M STD;14;MORATALAZ;MORATALAZ;AV;Nº 182;FTE AL Nº 187;AV DR. GARCIA TAPIA;MORATALAZ, AV Nº182 FRENTE AL Nº 187 AV DR. GARCIA TAPIA;445568;4473558;SI;32/;445458,5267;4473350,436;-3,642809718;40,40898444
2289;;MARQUESINA MOD XXI 5-M STD;14;MORATALAZ;LUIS DE HOYOS SAINZ;CALLE;Nº 0;FTE Nº50;C/ PICO ARTILLEROS;LUIS DE HOYOS SAINZ, CALLE Nº0 FTE Nº50 C/ PICO ARTILLEROS;446001;4473077;SI;32/N8/;445891,5205;4472869,427;-3,637665985;40,40467948
2291;;MARQUESINA MOD XXI 5-M REDUCIDA ;14;MORATALAZ;LUIS DE HOYOS SAINZ;CALLE;Nº 0;ESQ C/ FUENTE CARRANTONA;C/ PICO ARTILLEROS;LUIS DE HOYOS SAINZ, CALLE Nº0 ESQ C/ FUENTE CARRANTONA C/ PICO ARTILLEROS;446241;4472985;SI;32/;446131,5188;4472777,423;-3,634829994;40,40386622
2293;;MARQUESINA MOD XXI 5-M STD;14;MORATALAZ;VALDEBERNARDO;CALLE;Nº 0;ANTES C/ LUIS DE HOYOS SAINZ;C/LUIS HOYOS S.;VALDEBERNARDO, CALLE Nº0 ANTES C/ LUIS DE HOYOS SAINZ C/LUIS HOYOS S.;446525,068;4472885,237;SI;32/;446415,5849;4472677,656;-3,631474122;40,40298578
2305;;MARQUESINA MOD XXI 4-M STD;10;LATINA;VILLAMANIN;CALLE;Nº 56;;Pº EXTREMADURA;VILLAMANIN, CALLE Nº56 - Pº EXTREMADURA;436166;4473271;SI;33/65/;436056,5665;4473063,553;-3,753581201;40,405731
2307;;MARQUESINA MOD XXI 4-M STD;4;SALAMANCA;SAN CAYETANO;PZA;Nº 0;ESQ. C/ AZCONA;C/ FRANCISCO SILVELA;SAN CAYETANO, PZA. Nº ESQ. C/ AZCONA C/ FRANCISCO SILVELA;443236;4476342;SI;1/;443126,5635;4476134,483;-3,670540785;40,43390856
2308;;MARQUESINA MOD XXI 5-M STD;2;ARGANZUELA;SANTA Mª DE LA CABEZA;Pº;Nº 4;DESP GTA. CARLOS V;PZA. ELIPTICA;SANTA Mª DE LA CABEZA, Pº Nº4 DESP GTA. CARLOS V PZA. ELIPTICA;441219;4473368;SI;36/41/;441109,54;4473160,495;-3,69404458;40,40697706
2310;;MARQUESINA MOD XXI 5-M STD;2;ARGANZUELA;IMPERIAL;Pº;Nº 0;FTE Nº 50;Pº PONTONES;IMPERIAL, Pº Nº0 FTE Nº 50  Pº PONTONES;439445,072;4472798,545;SI;36/62/;439335,6146;4472591,058;-3,714895114;40,40171993
2313;;MARQUESINA MOD XXI 4-M STD;2;ARGANZUELA;IMPERIAL;Pº;Nº 0;FTE Nº 53;GTA PIRAMIDES;IMPERIAL, Pº Nº0 FTE Nº 53 GTA PIRAMIDES;439352,3952;4473060,192;SI;36/62/;439242,9412;4472852,707;-3,716012111;40,40407023
2317;;MARQUESINA MOD XXI 4-M STD;2;ARGANZUELA;VIRGEN DEL PUERTO;Pº;Nº 29;;GTA SAN VICENTE;VIRGEN DEL PUERTO, Pº Nº29  GTA SAN VICENTE;438918,6438;4473840,192;SI;36/50/62/;438809,2005;4473632,717;-3,721198293;40,41106515
2321;;MARQUESINA MOD XXI 4-M REDUCIDA;2;ARGANZUELA;JUAN DUQUE;CALLE;Nº 34;ESQ. C/ PIZARRA;Pº MELANCOLICOS;JUAN DUQUE, CALLE Nº34 ESQ. C/ PIZARRA Pº MELANCOLICOS;439051,4792;4473726,756;SI;36/50/;438942,0339;4473519,278;-3,719621943;40,410053
2322;;MARQUESINA MOD XXI 4-M STD;2;ARGANZUELA;MELANCOLICOS (DE LOS);Pº;Nº 12;DESP C/ RUY GONZALEZ CLAVIJO;Pº PONTONES;MELANCOLICOS (DE LOS), Pº Nº12 DESP C/ RUY GONZALEZ CLAVIJO Pº PONTONES;439023;4473481;SI;36/50/62/;438913,5522;4473273,522;-3,719934008;40,40783702
2323;;MARQUESINA MOD XXI 4-M STD;2;ARGANZUELA;MELANCOLICOS (DE LOS);Pº;Nº 18;;Pº PONTONES;MELANCOLICOS (DE LOS), Pº Nº18  Pº PONTONES;438952,877;4473192,581;SI;36/50/62/;438843,4264;4472985,102;-3,720732697;40,40523365
2324;;MARQUESINA MOD XXI 5-M REDUCIDA ;10;LATINA;SEBASTIAN ALVARO;CALLE;Nº 0;JTO CTRA EXTREMADURA;CTRA ARAVACA;SEBASTIAN ALVARO, CALLE Nº0 JTO CTRA EXTREMADURA CTRA ARAVACA;434541,852;4471945,778;SI;36/;434432,4153;4471738,339;-3,772583907;40,39366667
2325;;MARQUESINA MOD XXI 5-M REDUCIDA ;10;LATINA;PADRE PIQUER;AV;Nº 27;;CTRA EXTREMADUR;PADRE PIQUER, AVD Nº27 - CTRA EXTREMADUR;435015;4471679;SI;36/131/573/N905/;434905,5569;4471471,555;-3,766982079;40,39130049
