Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);COD_DIS;DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea EMT;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
396;;MARQUESINA MOD XXI 4-M STD;16;HORTALEZA;SILVANO;CALLE;Nº 0;DESP. C/ ALCORISA;C/ MOSCATELAR;SILVANO, CALLE DESP C/ ALCORISA - C/ MOSCATELAR;445838,3164;4479398,144;SI;120/122/;445728,8983;4479190,606;-3,640122137;40,46161364
397;;MARQUESINA MOD XXI 4-M STD;16;HORTALEZA;SILVANO;CALLE;Nº 0;ESQ C/ DE JOSE RIZAL;M - 40;SILVANO, CALLE DESP C/ ALGABEÑO - M - 40;446060;4479500;SI;120/122/;445950,5819;4479292,46;-3,63751623;40,46254564
409;;MARQUESINA MOD XXI 4-M STD;15;CIUDAD LINEAL;RAMON Y CAJAL;AV;Nº 105;PROX. C/ LOPEZ DE HOYOS;AV. CONCHA ESPINA;RAMON Y CAJAL, AV Nº105 DESP C/ LOPEZ DE HOYOS (2ª MARQ) - AV CONCHA ESPINA;444010;4478527;SI;9/72/73/120/N2/;443900,5814;4478319,484;-3,661608621;40,45364472
411;;MARQUESINA MOD XXI 4-M REDUCIDA;5;CHAMARTIN;RAMON Y CAJAL;AV;Nº 69;FTE Nº 58;CONCHA ESPINA;RAMON Y CAJAL, AV Nº69 - CONCHA ESPINA;443422;4478413;SI;43/120/;443312,5827;4478205,492;-3,668532562;40,45257793
413;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;RAMON Y CAJAL;AV;Nº 1;ESQ. C/ PRINCIPE DE VERGARA;AV. CONCHA ESPINA;RAMON Y CAJAL, AV Nº1 ANT C/ PRINCIPE DE VERGARA - AV CONCHA ESPINA;442695;4478323;SI;43/52/120/;442585,5847;4478115,502;-3,677097577;40,45171736
415;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;PRINCIPE DE VERGARA;CALLE;Nº 203;ANT PZA CATALUÑA.;AV MENENDEZ PELAYO;PRINCIPE DE VERGARA, CALLE Nº203 ANT PZA CATALUÑA - AV MENENDEZ PELAYO;442615,974;4478041,867;SI;16/29/52/;442506,5565;4477834,369;-3,678004054;40,44917931
417;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;DOCTOR ARCE;AV;Nº 0;FTE Nº 22;REP. ARGENTINA;DOCTOR ARCE, AV  FTE Nº 22 - PZA REPUBLICA ARGENTINA;442372;4477851;SI;16/19/;442262,5818;4477643,504;-3,680863635;40,44744301
419;;MARQUESINA MOD XXI 4-M STD;5;CHAMARTIN;JOAQUIN COSTA;CALLE;Nº 27;;PASEO DE CASTELLANA;JOAQUIN COSTA, CALLE Nº 27 - Pº DE LA CASTELLANA;441938,62;4477677,78;SI;7/C2/;441829,2021;4477470,289;-3,685958018;40,4458524
420;;MARQUESINA MOD XXI 4-M REDUCIDA;5;CHAMARTIN;JOAQUIN COSTA;CALLE;Nº 18;;FRANCISCO SILVELA;JOAQUIN COSTA, CALLE Nº18 - C/ FRANCISCO SILVELA;441915;4477644;SI;7/C1/;441805,582;4477436,509;-3,686233435;40,44554644
430;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;VELAZQUEZ;CALLE;Nº 136;ESQ C/ LOPEZ DE HOYOS;AV DOCTOR ARCE;VELAZQUEZ, CALLE Nº136 DESP C/ LOPEZ DE HOYOS - AV DOCTOR ARCE;442209;4476996;SI;16/19/51/N1/;442099,5742;4476788,502;-3,682707827;40,43972941
432;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;VELAZQUEZ;CALLE;Nº 146;;AV DOCTOR ARCE;VELAZQUEZ, CALLE Nº146 - AV DOCTOR ARCE;442229;4477371;SI;16/19/51/N1/;442119,5782;4477163,503;-3,682506139;40,44310899
438;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;SERRANO;CALLE;Nº 215;ESQ C/VICTOR ANDRES BELAUNDE;PZA  INDEPENDENCIA;SERRANO, CALLE Nº215 ANT C/ VICTOR ANDRES BELAUNDE - PZA  INDEPENDENCIA;442567;4478614;SI;51/N1/;442457,5877;4478406,505;-3,678633339;40,45433
441;;MARQUESINA MOD XXI 4-M STD;5;CHAMARTIN;SERRANO;CALLE;Nº 183;;PZA INDEPENDENC;SERRANO, CALLE Nº183 - PZA INDEPENDENCIA;442223;4478128;SI;7/51/N1/;442113,5848;4477920,508;-3,6826458;40,44992802
