TIPO_DATO;LOTE;COD_DIST;DISTRITO;COD_BARRIO;BARRIO;DIRECCION COMPLETA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;TIPO_NUMERO;NUMERO;UTM_X;UTM_Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA;MÁS INFORMACIÓN
CONTENEDOR DE ROPA;01;08;FUENCARRAL;085;LA PAZ;CALLE DE ANTONIO LOPEZ AGUADO, 22;CALLE;DE;ANTONIO LOPEZ AGUADO;Número;22;440425.7202;4481460.675;40.4817;-3.70288151;CALLE DE ANTONIO LOPEZ AGUADO, 22;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;084;PILAR;AVENIDA DE MONFORTE DE LEMOS, 101;AVENIDA;DE;MONFORTE DE LEMOS;Número;101;440213.5661;4481167.773;40.47904618;-3.70535679;AVENIDA DE MONFORTE DE LEMOS, 101;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;083;PEÑAGRANDE;CALLE DE LA BAÑEZA, 37;CALLE;DE;LA BAÑEZA;Número;37;439313.4936;4480801.584;40.47568213;-3.71593997;CALLE DE LA BAÑEZA, 37;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;085;LA PAZ;CALLE DE MELCHOR FERNANDEZ ALMAGRO, 26;CALLE;DE;MELCHOR FERNANDEZ ALMAGRO;Número;26;440509.8377;4480990.151;40.47746737;-3.70184499;CALLE DE MELCHOR FERNANDEZ ALMAGRO, 26;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;194;EL CAÑAVERAL;CALLE DEL DIALOGO, 61;CALLE;DEL;DIALOGO;Número;61;452948.3164;4473015.333;40.40642263;-3.55451672;CALLE DEL DIALOGO, 61;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;194;EL CAÑAVERAL;CALLE DE JOSE ESCOBAR Y SALIENTE, 41;CALLE;DE;JOSE ESCOBAR Y SALIENTE;Número;41;452151.9022;4472717.323;40.40369255;-3.56387984;CALLE DE JOSE ESCOBAR Y SALIENTE, 41;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;192;VALDEBERNARDO;CALLE DEL PERGAMINO, 30;CALLE;DEL;PERGAMINO;Número;30;447072.4104;4471749.307;40.39466463;-3.62365692;CALLE DEL PERGAMINO, 30;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;192;VALDEBERNARDO;CALLE DE LA RAYA, 18;CALLE;DE LA;RAYA;Número;18;447294.9152;4472400.033;40.4005409;-3.62108911;CALLE DE LA RAYA, 18;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;192;VALDEBERNARDO;BULEVAR DE INDALECIO PRIETO, 33;BULEVAR;DE;INDALECIO PRIETO;Número;33;447242.669;4472229.781;40.39900385;-3.62169065;BULEVAR DE INDALECIO PRIETO, 33;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;192;VALDEBERNARDO;BULEVAR DE INDALECIO PRIETO, 12;BULEVAR;DE;INDALECIO PRIETO;Número;12;447321.4222;4472623.111;40.40255221;-3.62079522;BULEVAR DE INDALECIO PRIETO, 12;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
